,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Estonia,Greece,Spain,EU27_2020,Finland,France,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Sweden,Slovenia,Slovakia,Turkey
2020-Q3 ,11.2 ,11.8,3.6 ,6.9 ,7.2 ,7.0 ,8.9,5.5 ,4.7 ,5.4,16.2 ,11.3 ,5.0 ,17.4 ,5.6 ,11.8 ,11.9 ,13.8 ,6.0 ,8.5 ,7.0 ,7.9 ,6.4 ,4.3 ,6.8 ,14.6 ,6.3 ,7.4 ,7.2 ,11.6 ,9.7 ,16.4 
2020-Q4 ,-2.2 ,-0.5,1.8 ,0.4 ,5.1 ,1.2 ,0.8,1.0 ,2.4 ,4.0,0.2 ,0.1 ,0.8 ,-0.6 ,5.9 ,1.7 ,-4.8 ,-0.4 ,0.4 ,-1.1 ,1.1 ,3.3 ,0.6 ,1.2 ,0.1 ,0.4 ,4.9 ,1.7 ,0.6 ,-2.2 ,0.8 ,1.5 
2021-Q1 ,-1.3 ,1.4,2.8 ,0.4 ,3.0 ,-0.6 ,-1.3,1.5 ,2.8 ,3.3,0.4,0.4 ,0.0 ,0.1 ,7.3,1.1 ,11.5 ,1.6 ,1.8 ,3.9 ,0.6 ,6.0 ,1.2,-0.3 ,2.3 ,-2.4 ,0.7 ,3.1 ,1.2 ,4.5 ,-0.2 ,2.0 
2021-Q2 ,4.1 ,1.8,1.3 ,2.5 ,0.8 ,1.4 ,2.2,3.1 ,2.1 ,1.3,2.1,2.0 ,1.4 ,0.9 ,0.5,2.2 ,2.5 ,2.5 ,1.6 ,1.0 ,2.6 ,0.4 ,3.1,1.3 ,2.5 ,4.5 ,0.3 ,0.9 ,1.7 ,1.1 ,1.7 ,1.7 
2021-Q3 ,4.2 ,2.3,1.9 ,2.2 ,3.2 ,1.8 ,0.7,0.7 ,-0.3 ,3.2,2.3,2.1 ,1.0 ,3.0 ,2.3,1.4 ,2.6 ,2.8 ,1.8 ,0.2 ,2.8 ,5.6 ,1.9,3.2 ,2.2 ,3.0 ,1.1 ,2.1 ,2.0 ,2.3 ,0.6 ,3.6 
2021-Q4 ,-0.3 ,0.6,1.5 ,0.2 ,1.9 ,0.8 ,0.0,2.4 ,1.0 ,0.5,2.0,0.7 ,0.9 ,0.6 ,2.2,2.5 ,-2.5 ,0.8 ,1.2 ,2.4 ,0.0 ,1.1 ,0.8,0.4 ,1.9 ,1.9 ,0.4 ,1.3 ,2.1 ,1.3 ,0.5 ,1.6 
2022-Q1 ,0.7 ,0.6,0.4,0.0 ,0.6 ,0.6 ,1.0,-1.0 ,-0.1 ,2.7,0.3,0.7 ,-0.1 ,-0.1 ,2.4,1.4,6.8 ,0.1 ,0.6 ,0.0 ,1.5 ,0.8 ,0.5,-0.6 ,3.2 ,2.3,2.7,-0.3 ,-0.7 ,0.0 ,0.3 ,0.2 
2022-Q2 ,2.0 ,0.5,0.7,0.9 ,0.5 ,0.2 ,-0.1,1.0 ,-1.1 ,0.5,2.5,0.7 ,0.7 ,0.4 ,1.2,1.0,2.2 ,1.4 ,-0.6 ,-0.2 ,0.1 ,2.2 ,1.8,1.2 ,-1.4 ,0.1,0.3,0.7 ,0.8 ,0.5 ,0.1 ,1.4 
2022-Q3 ,-0.4 ,0.3,0.5,0.3 ,0.9 ,-0.2 ,0.4,-0.2 ,-0.7 ,0.3,0.5,0.3 ,-0.4 ,0.3 ,-0.5,-0.9,2.4 ,0.3 ,0.7 ,0.0 ,-0.8 ,0.6 ,-0.2,1.2 ,1.2 ,0.5,0.8,-0.6 ,0.4 ,-0.5 ,0.3 ,0.5 
2022-Q4 ,0.0 ,0.1,0.5,0.0 ,0.6 ,-0.4 ,-0.4,0.6 ,-1.4 ,1.2,0.5,-0.1 ,-0.6 ,0.1 ,0.5,-0.9,-0.9 ,-0.2 ,-0.5 ,-2.1 ,0.7 ,1.6 ,0.9,-0.1 ,-2.0 ,0.5,1.1,0.7 ,-0.8 ,0.7 ,0.2 ,1.1 
2023-Q1 ,0.1 ,0.4,0.4,0.3 ,1.2 ,0.1 ,-0.1,0.8 ,-0.7 ,0.0,0.6,0.2 ,0.3 ,0.0 ,1.3,-0.3,-2.6 ,0.6 ,-1.9 ,0.6,-0.4 ,0.6 ,-0.4,0.3 ,1.6 ,1.5,-1.0,0.2 ,0.4 ,0.2 ,0.2 ,-0.1 
2023-Q2 ,-0.8 ,0.2,0.4,0.0 ,-0.4 ,0.0 ,0.0,-0.3 ,-0.2 ,1.3,0.5,0.0 ,0.6 ,0.5 ,1.1,-0.2,0.5 ,-0.4 ,2.4 ,-0.1,-0.3 ,1.1 ,-0.2,0.0 ,-2.2 ,0.0,1.7,1.3 ,-0.8 ,1.1 ,0.5 ,3.5 
